"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Method","TD","rep"
"17",0.724528301886792,0.87170474516696,0.724528301886793,0.87170474516696,0.724528301886792,0.724528301886792,0.724528301886792,0.317745803357314,0.23021582733813,0.317745803357314,0.798116523526876,"Non-DU",0.596233047053752,6
"18",0.725786163522013,0.872290568248389,0.725786163522013,0.872290568248389,0.725786163522013,0.725786163522013,0.725786163522013,0.317745803357314,0.230615507593925,0.317745803357314,0.799038365885201,"P1",0.598076731770402,6
"19",0.724725943970767,0.878625134264232,0.724725943970767,0.878625134264232,0.724725943970767,0.724725943970767,0.724725943970767,0.306000745434215,0.22176667909057,0.306000745434215,0.8016755391175,"DU",0.603351078234999,7
"20",0.712545676004872,0.873254564983888,0.712545676004872,0.873254564983888,0.712545676004872,0.712545676004872,0.712545676004872,0.306000745434215,0.218039508013418,0.306000745434215,0.79290012049438,"Non-DU",0.58580024098876,7
"21",0.704019488428745,0.869495166487648,0.704019488428745,0.869495166487648,0.704019488428745,0.704019488428745,0.704019488428745,0.306000745434215,0.215430488259411,0.306000745434215,0.786757327458196,"P1",0.573514654916393,7
"22",0.726355611601513,0.873025160912814,0.726355611601513,0.873025160912815,0.726355611601513,0.726355611601513,0.726355611601513,0.316946442845723,0.23021582733813,0.316946442845723,0.799690386257164,"DU",0.599380772514328,8
"23",0.728877679697352,0.874195435927443,0.728877679697352,0.874195435927443,0.728877679697352,0.728877679697352,0.728877679697352,0.316946442845723,0.23101518784972,0.316946442845723,0.801536557812397,"Non-DU",0.603073115624795,8
"24",0.703656998738966,0.862492685781159,0.703656998738966,0.862492685781159,0.703656998738966,0.703656998738966,0.703656998738966,0.316946442845723,0.223021582733813,0.316946442845723,0.783074842260062,"P1",0.566149684520124,8
"25",0.719018404907975,0.868692660550459,0.719018404907975,0.868692660550459,0.719018404907975,0.719018404907975,0.719018404907975,0.318483782727628,0.228995701445877,0.318483782727628,0.793855532729217,"DU",0.587711065458434,9
"26",0.717791411042945,0.868119266055046,0.717791411042945,0.868119266055046,0.717791411042945,0.717791411042945,0.717791411042945,0.318483782727628,0.228604923798359,0.318483782727628,0.792955338548995,"Non-DU",0.585910677097991,9
"27",0.703067484662577,0.861238532110092,0.703067484662577,0.861238532110092,0.703067484662577,0.703067484662577,0.703067484662577,0.318483782727628,0.223915592028136,0.318483782727628,0.782153008386334,"P1",0.564306016772668,9
"28",0.727825030376671,0.870520231213873,0.727825030376671,0.870520231213873,0.727825030376671,0.727825030376671,0.727825030376671,0.322365844104975,0.234625930278104,0.322365844104975,0.799172630795272,"DU",0.598345261590543,10
"29",0.722964763061968,0.868208092485549,0.722964763061968,0.868208092485549,0.722964763061968,0.722964763061968,0.722964763061968,0.322365844104975,0.233059146102624,0.322365844104975,0.795586427773759,"Non-DU",0.591172855547518,10
"30",0.722964763061968,0.868208092485549,0.722964763061968,0.868208092485549,0.722964763061968,0.722964763061968,0.722964763061968,0.322365844104975,0.233059146102624,0.322365844104975,0.795586427773759,"P1",0.591172855547518,10
