"","parameter","rep","CB_DU","CB","P1"
"157","twall",4,0.496360258989951,0.517117161863621,0.653442819999603
"158","toilet",4,0.435573647551295,0.416181399211523,0.415976990868648
"159","water",4,-0.186876240466466,-0.222725771951244,-0.232805803513025
"160","lighting",4,0.715867112005472,0.677709866569564,0.299781314884583
"161","troof",4,0.824425298993063,0.796088859412792,0.664511765377083
"162","fcook",4,0.435840418304123,0.452068259428585,0.599036363679241
"163","house",4,0.287251780332124,0.200122517633565,0.613476052698008
"164","computer",4,1.64513953714339,1.47698054309455,1.84910617703162
"165","radio",4,0.0475936487336983,0.06650133220921,-0.372803466662736
"166","tv",4,0.288630309523591,0.287821879666215,-0.485229606161248
"167","dvd",4,0.0721065838141474,0.0510486163371092,0.292096372477264
"168","satellite",4,0.0487408650831409,0.00330903651592809,0.301095780063703
"169","ac",4,1.19013649669159,2.22492284115407,-0.0461424766692619
"170","gas",4,-0.0844776725798774,-0.0801662423798656,0.0268123598744089
"171","refrigerator",4,0.567727956223961,0.524266852348596,1.31962902333631
"172","bicycle",4,-0.0541093708969092,-0.0571994070812736,-0.110428451728042
"173","motorcycle",4,0.673306425740493,0.634658998129321,0.913833164497434
"174","auto",4,0.804127728844328,0.745746592073058,0.692199106098866
"175","hp",4,0.304930722872355,0.276735469114759,0.369624811189081
"176","jewelry",4,0.186894162301544,0.1592064275525,0.409299442741165
"177","chicken",4,0.355625096219373,0.312291798491826,0.474446483819641
"178","cow",4,0.607143900290192,0.625132762109021,0.0177109678321077
"179","credit",4,-0.111165629530164,-0.0442803365231997,-0.137024618407811
"180","hhsector1",4,0.885130564001265,0.81723187977193,0.660291067992395
"181","hhsector2",4,0.550559892882251,0.528389928135877,-0.0910499812604737
"182","hhsector3",4,0.71133375864008,0.7385337854787,0.0831765155964022
"183","formal",4,0.0117159119422352,-0.0105914445757373,-0.364826931233526
"184","informal",4,0.168539557269427,0.151379929413656,-0.691217489234837
"185","hhsize",5,-0.559895681184173,-0.509956782632662,-0.349642803351141
"186","hhage",5,0.239927879847946,0.168836983026228,0.266147190327144
"187","age04",5,-0.0712694108231902,-0.193447928181741,0.0145118028227441
"188","depratio",5,0.191152132080388,0.387890264997906,-0.0154877276818199
"189","pcfloor",5,0.871331769198783,1.07210736392048,0.498397439791106
"190","eschild",5,0.0454835577445598,-0.0240672062321863,-0.030016599239932
"191","jschild",5,0.0536785680697251,0.0659489920839474,-0.12181589652036
"192","sschild",5,0.0583383678034894,0.114449349022881,0.10559185653882
"193","connected",5,-0.292075301046191,-0.358150850409406,-0.148350595411673
"194","hhmale",5,0.0147822373669898,0.0892593027788202,0.146784203903354
"195","hhmarried",5,1.19233936527117,1.16295645886856,1.37796989560211
"196","hheduc2",5,0.0135757076035503,0.119096467870101,0.0215990294763953
"197","hheduc3",5,0.153075163085066,0.195462521712632,0.0798014082611151
"198","hheduc4",5,0.270751907959054,0.12770769251617,0.425728403163856
"199","higheduc2",5,-0.478983798457991,-1.05521109370421,-0.0723391397070878
"200","higheduc3",5,0.0131839263759364,-0.415627206151115,-0.0334693382461069
"201","higheduc4",5,0.323228638617664,-0.0134788736904652,0.292507550686647
"202","tfloor",5,0.272141390406036,0.322343710493716,0.2375735139858
"203","twall",5,0.619763528617646,0.77017180225486,0.181894705614281
"204","toilet",5,0.738551048894442,0.838921119308001,0.433361025936923
"205","water",5,-0.304602452591562,-0.331486293603401,-0.250902157708854
"206","lighting",5,0.927014862948013,1.14354970057661,0.651418619676514
"207","troof",5,0.353911182055356,0.143710115646321,0.977157801648372
"208","fcook",5,0.397166843544239,0.335516810977691,0.374438966149146
"209","house",5,0.463597617802902,0.46868064264987,0.424602221553989
"210","computer",5,0.681750210996309,0.512117143904283,0.951221503002193
"211","radio",5,-0.193483345163315,-0.249062668158998,0.138307660971388
"212","tv",5,0.206299557443934,0.336694821947391,0.0155334796435435
"213","dvd",5,0.418302084852478,0.487727160740507,0.138002117568616
"214","satellite",5,0.484682206355466,0.390589031549076,0.37501841313292
"215","ac",5,1.59672069932388,0.448404470608463,1.91497508608827
"216","gas",5,0.804777924381349,1.00875634602658,0.403028818156742
"217","refrigerator",5,0.364107563448364,0.239530811385469,0.59413311979103
"218","bicycle",5,0.211611437953854,0.309288001080036,-0.0612241420716091
"219","motorcycle",5,0.728633023354296,0.938124865205151,0.741618543045869
"220","auto",5,0.582130955306504,0.339403393600066,1.05094906875876
"221","hp",5,-0.0282122387010978,-0.110438554738891,0.264420508236278
"222","jewelry",5,0.653674477804176,0.77035030783452,0.180891579347058
"223","chicken",5,-0.362710791788298,-0.510306444954136,0.191595131342325
"224","cow",5,0.43524650205506,0.440304917897203,0.505912390352811
"225","credit",5,-0.211807571800518,-0.641823493046023,0.395094170160621
"226","hhsector1",5,0.680739244706911,1.41982433568233,0.21394594079698
"227","hhsector2",5,0.185725935138311,0.750343898245428,0.191032336526373
"228","hhsector3",5,0.321949242128038,0.862791260009032,0.570406465296724
"229","formal",5,0.205932963192842,-0.340470688126331,-0.0409488275426563
"230","informal",5,-0.273629389914796,-0.970821466582294,0.027600368326553
"231","hhsize",6,-0.120782812770136,-0.0887547817358965,-0.293030140137513
"232","hhage",6,0.204614218557159,0.158694623965258,0.309434237356134
"233","age04",6,-0.0108463542349706,-0.0379154902394392,-0.0910715233796785
"234","depratio",6,-0.091490731008575,-0.214657389131838,0.359668491827196
"235","pcfloor",6,-0.0306399282235339,-0.0352046782580868,0.348303977099146
"236","eschild",6,-0.156099566740249,-0.221324252864838,-0.122406838250746
"237","jschild",6,-0.0160169168970703,0.000615191258825843,-0.234959686114853
"238","sschild",6,0.0653551390635123,0.0666827370907272,0.0894108116114231
"239","connected",6,-0.0749073224807074,-0.0580490488856418,-0.280863367409486
"240","hhmale",6,0.21589820996903,0.574658140158844,-0.14736007305083
"241","hhmarried",6,0.462647861684118,0.348556264902244,0.962421320493353
"242","hheduc2",6,0.019304281523657,-0.00581385184761291,0.28993510302958
"243","hheduc3",6,0.162588513234546,0.1889178034261,0.373076717741579
"244","hheduc4",6,0.575121904891661,0.863650105801006,0.41599871783704
"245","higheduc2",6,-0.355023965384352,-0.594566978572139,-0.593304132077869
"246","higheduc3",6,-0.291864069539941,-0.470187254251169,-0.31617534080344
"247","higheduc4",6,-0.282131921639554,-0.571399017986561,0.00531569868493932
"248","tfloor",6,0.438428640658141,0.358239700140579,0.612930326254145
"249","twall",6,0.241954587725302,0.318861963345766,0.306810665305253
"250","toilet",6,0.331885213591178,0.465463253456395,0.546529784448259
"251","water",6,-0.15055979945756,-0.242622812823503,-0.0643119335240596
"252","lighting",6,0.42819840047932,0.630413856119288,0.342892246386334
"253","troof",6,0.108766722501695,0.268808212674909,0.182815383183618
"254","fcook",6,0.450463851524053,0.61503515871766,-0.152430536110256
"255","house",6,0.416860733966854,0.510369283781652,0.437857490629842
"256","computer",6,0.472641951168362,0.63512473691906,0.764451106982933
"257","radio",6,-0.0453206148040855,-0.0916170884295017,-0.091777278510197
"258","tv",6,-0.0903676113568309,-0.131351738224748,-0.230321735049891
"259","dvd",6,0.101848295801566,0.136384131220387,0.437313664782671
"260","satellite",6,0.372049906846369,0.682315201038617,0.279893602455826
"261","ac",6,1.2028677268702,1.00079879437671,1.92793413917544
"262","gas",6,0.372514085801245,0.505626260436332,0.393969333207673
"263","refrigerator",6,0.501767707672503,0.684548179640557,0.750360013063404
"264","bicycle",6,0.0409414567147937,0.0722861050882465,0.0886567436803384
"265","motorcycle",6,0.208826200163392,0.259984950034676,0.531031605127921
"266","auto",6,1.08355161091536,1.38306722139764,1.63072192968631
"267","hp",6,0.519417497741052,0.757197673148411,0.182957909331537
"268","jewelry",6,0.234835986261385,0.316717475540775,0.0440608938014052
"269","chicken",6,0.0305071652071851,0.0706403486582114,-0.0272536616907281
"270","cow",6,0.374668744357104,0.556196266508031,0.348249257436698
"271","credit",6,-0.277045465711496,-0.52487527905994,0.0429505689997327
"272","hhsector1",6,0.46423016438743,-0.0872079221821719,0.616021146350767
"273","hhsector2",6,0.290902178091957,-0.377053965870382,0.814368129291916
"274","hhsector3",6,0.305202241422133,-0.255979092148515,0.743167614645159
"275","formal",6,0.0979523624286599,0.101873112553164,0.539146175004416
"276","informal",6,0.0131658352080381,0.019495251122722,0.287294032474128
"277","hhsize",7,-0.746418584714327,-0.821103444204814,-0.187788686235464
"278","hhage",7,0.746027500463301,0.855595257744055,0.59840681033591
"279","age04",7,0.214987023217339,0.43442495222134,-0.112655528859752
"280","depratio",7,0.00803630434066816,-0.272961846268391,0.761030375014836
"281","pcfloor",7,0.803612642773454,0.689402972838715,0.543334194813439
"282","eschild",7,0.455335347201834,0.556297412114893,-0.253109279661321
"283","jschild",7,-0.0729103613615024,0.0250682809261552,0.0538649758715394
"284","sschild",7,0.377749592385768,0.292347906113768,0.509654816688421
"285","connected",7,0.391197208358484,0.351829084279204,0.249972630581746
"286","hhmale",7,0.422491907357437,-0.286466413772672,1.27794769501796
"287","hhmarried",7,1.24722963782773,1.26736310473132,1.51016029605201
"288","hheduc2",7,0.272430557093968,0.380371727697811,0.269496666141343
