"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","PMT_beta"
"1675","twall",7,50,0.293275153579668,0.48341030611441,0.120939337749648,0.304467143672106,0.504080094453853,0.119696610404862,0.819138916909651,0.800770536683971,0.136607725249503
"1676","toilet",7,50,0.106697915724436,0.171389428254764,0.0509542252970795,0.0976949950930429,0.157389175888669,0.0483820886553079,0.154236229254315,0.143898859682436,0.136060384893999
"1677","water",7,50,-0.143190508420243,-0.153307069924554,-0.138523558206929,-0.128719408446804,-0.130859057270124,-0.141452423820959,-0.248381768532621,-0.233286465861741,-0.0125991754952077
"1678","lighting",7,50,0.225561134335902,0.348162783978414,0.121432909597788,0.246246579142295,0.387007906971127,0.121971313293258,0.560279170548003,0.570887527133564,-0.102190629721062
"1679","troof",7,50,-0.123957900476288,-0.108336842941311,-0.13451357839276,-0.114354872858701,-0.117655017799208,-0.133217019608618,-0.135777827993636,-0.155642221852124,0.0832486317806375
"1680","fcook",7,50,0.118335051853199,0.0333483276054966,0.204484564850601,0.113447432538002,0.0330114121190306,0.206158311096353,-0.0761827566017268,-0.0838490230573508,0.0743907389094044
"1681","house",7,50,0.165836299954158,0.293302886100838,0.0516997161318568,0.192351976687947,0.332775599041028,0.0541733433256949,0.492658641122771,0.482378974107163,-0.0257715328233372
"1682","computer",7,50,0.617360278044174,0.738363042778364,0.527199791148368,0.620399216688288,0.75366131676708,0.528727943819503,1.39315405666391,1.40212799462459,0.597186996176157
"1683","radio",7,50,-0.0131685474617266,-0.065565281902541,0.0455727720276342,-0.00887829949937419,-0.055022739320027,0.0470576698251725,-0.105961193738761,-0.133379061014779,0.0425637321467104
"1684","tv",7,50,-0.100192389527986,-0.134293431364042,-0.0746090611249583,-0.0896143472003092,-0.117073522110015,-0.0745097018025046,-0.253814969237853,-0.272722512696497,0.0676502798080588
"1685","dvd",7,50,0.195385658427359,0.262486369037759,0.127577969240011,0.180858890653248,0.258260390040361,0.125080779817469,0.493231678747159,0.483822587608654,-0.0188021382766602
"1686","satellite",7,50,0.121211566962321,0.0941012880109688,0.148499626840262,0.117506832304362,0.0913559967868658,0.150726956165215,0.0297092151212865,0.0874423877553915,0.0294083843228363
"1687","ac",7,50,0.476983015529853,0.562302611007435,0.422293279114267,0.493626367522725,0.592139892980183,0.419379225640783,1.68722767204844,1.88850914906878,0.528869207647128
"1688","gas",7,50,0.294097827592078,0.390862872916237,0.208543712121127,0.292765162569579,0.406397447466143,0.208153999101575,0.668096616704909,0.664634507091468,0.0799411430047729
"1689","refrigerator",7,50,0.323975811966423,0.464199434533822,0.204386811555891,0.323029722736644,0.456024982823048,0.205664484105854,0.62181779168873,0.664476395642846,0.305888263816285
"1690","bicycle",7,50,0.101818210861813,0.201899793343409,0.00821163377385034,0.117508694698193,0.216364426702831,0.00967165260197641,0.371020058552062,0.346400917242836,-0.0210263564655926
"1691","motorcycle",7,50,0.25643930447075,0.310888779161935,0.203513014927463,0.250299138048965,0.312763623551052,0.202620192117321,0.490542111317706,0.489166338986061,0.156200774317538
"1692","auto",7,50,0.676800741794025,0.888326846266171,0.506501892470999,0.695259572892415,0.917506167915651,0.508420234563905,1.75386306454202,1.78958986175852,0.189159150084531
"1693","hp",7,50,0.265899917969391,0.365664269178514,0.185050936061121,0.2750666708897,0.376441647892302,0.183813770264138,0.527801002302976,0.545401051297684,0.453610288091386
"1694","jewelry",7,50,0.0723932845900182,0.0968515423560223,0.0472381174835609,0.0754748658183307,0.0960998836831187,0.048431508157444,0.0953579828040937,0.0953897973421919,-0.0214183244681777
"1695","chicken",7,50,0.113023005167068,0.175220846340859,0.0618370015950706,0.106874993234191,0.164138216508124,0.0616039959082461,0.23596221035238,0.239957669302628,-0.0794656940656258
"1696","cow",7,50,-0.0524095478298106,-0.065376173916297,-0.0557485835402983,-0.0627912385645904,-0.0723572853576297,-0.0577608247273954,-0.238391172269995,-0.0927966792821089,0.0520436456782738
