"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Method","CBT_ncomm","nonconverge","TD","rep","EER"
0.614754098360656,0.825278810408922,0.614754098360656,0.825278810408922,0.614754098360656,0.614754098360656,0.614754098360656,0.312020460358056,0.191815856777494,0.312020460358056,0.720016454384789,"PMT OLS",10,FALSE,0.440032908769578,8,0.385245901639344
0.600409836065574,0.818773234200744,0.600409836065574,0.818773234200744,0.600409836065574,0.600409836065574,0.600409836065574,0.312020460358056,0.187340153452685,0.312020460358056,0.709591535133159,"PMT OLS (cbt target)",10,FALSE,0.419183070266317,8,0.399590163934426
0.548523206751055,0.803489439853076,0.548523206751055,0.803489439853076,0.548523206751055,0.548523206751055,0.548523206751055,0.303262955854127,0.166346769033909,0.303262955854127,0.676006323302065,"PMT OLS",10,FALSE,0.352012646604131,9,0.451476793248945
0.489451476793249,0.777777777777778,0.489451476793249,0.777777777777778,0.489451476793249,0.489451476793249,0.489451476793249,0.303262955854127,0.148432501599488,0.303262955854127,0.633614627285513,"PMT OLS (cbt target)",10,FALSE,0.267229254571027,9,0.510548523206751
0.561669829222011,0.779369627507163,0.561669829222011,0.779369627507163,0.561669829222011,0.561669829222011,0.561669829222011,0.334815756035578,0.188055908513342,0.334815756035578,0.670519728364587,"PMT OLS",10,FALSE,0.341039456729175,10,0.438330170777989
0.584440227703985,0.790830945558739,0.584440227703985,0.790830945558739,0.584440227703985,0.584440227703985,0.584440227703985,0.334815756035578,0.195679796696315,0.334815756035578,0.687635586631362,"PMT OLS (cbt target)",10,FALSE,0.375271173262724,10,0.415559772296015
0.597585513078471,0.817017383348582,0.597585513078471,0.817017383348582,0.597585513078471,0.597585513078471,0.597585513078471,0.312578616352201,0.186792452830189,0.312578616352201,0.707301448213526,"PMT OLS",10,TRUE,0.414602896427053,11,0.402414486921529
0.565392354124749,0.802378774016468,0.565392354124748,0.802378774016469,0.565392354124749,0.565392354124749,0.565392354124749,0.312578616352201,0.176729559748428,0.312578616352201,0.683885564070609,"PMT OLS (cbt target)",10,TRUE,0.367771128141217,11,0.434607645875251
0.606003752345216,0.803370786516854,0.606003752345216,0.803370786516854,0.606003752345216,0.606003752345216,0.606003752345216,0.332916926920675,0.201748906933167,0.332916926920675,0.704687269431035,"PMT OLS",10,FALSE,0.40937453886207,12,0.393996247654784
0.545966228893058,0.773408239700375,0.545966228893058,0.773408239700375,0.545966228893058,0.545966228893058,0.545966228893058,0.332916926920675,0.181761399125547,0.332916926920675,0.659687234296716,"PMT OLS (cbt target)",10,FALSE,0.319374468593433,12,0.454033771106942
0.620758483033932,0.820245979186377,0.620758483033932,0.820245979186377,0.620758483033932,0.620758483033932,0.620758483033932,0.321566110397946,0.199614890885751,0.321566110397946,0.720502231110154,"PMT OLS",10,TRUE,0.441004462220309,13,0.379241516966068
