"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1027","roof",1,10,-0.0641785688390066,0.012401157736589,-0.145732226201813,-0.0406646587768288,0.043384655120502,-0.140898153333506,-0.0381957517724107,-0.0805443590249002,0.177248457543927,0.167221318799355
"1028","toilet",1,10,0.0711371864305985,0.107604933627215,0.0370936121579358,0.0759113158191324,0.115029904969059,0.0519288445718474,0.273859125415724,0.192708055027989,0.528767629745685,0.381972780264943
"1029","well",1,10,-0.119959476950744,-0.146006456098292,-0.0989404386363017,-0.132102127560281,-0.190663277890982,-0.0866231182531289,-0.268848149273222,-0.293589437679046,-0.15806116930075,0.0552082009446193
"1030","water",1,10,0.168451049970152,0.328874605871579,0.0317286115159183,0.225624729845517,0.425840801606733,0.0426402949825853,0.512255887722584,0.311508411959578,0.241082210442845,-0.102354348101258
"1031","waste",1,10,0.251575811743047,0.277688623619242,0.237222693781383,0.259424521561123,0.309475563324917,0.239187260835806,1.22346004413547,1.02890719794725,0.791091924597589,-1.48960007299581
"1032","male",1,10,-0.68606772667207,-0.899404953780629,-0.532878310415249,-0.713940832781112,-0.971680344695148,-0.537734206982541,-1.45590281005793,-1.14989632609092,-0.804442124174498,0.238893801971609
"1033","married",1,10,0.170929525168756,0.277533332592125,0.0820939937044308,0.212547157394036,0.33419198738685,0.093833931598517,0.450620789567578,0.299873015423329,0.104730910248725,0.0079359360749062
"1034","widow",1,10,0.371061390481247,0.261362758169612,0.512969037148846,0.365556397473863,0.244179592906223,0.52154234247491,0.123955389196861,-0.185535701397081,-0.28603378468086,0.26088040579036
"1035","minority",1,10,-0.0927813338236209,-0.0685069180389187,-0.119798176214106,0,0,0,0.0224178115861555,0,0,0
"1036","primary",1,10,0.0982562165068468,0.119312108584802,0.0859595526202348,0.138941376475536,0.18483245175322,0.105089220500046,0.0538079914073894,-0.0381984455768066,-0.0289263871361113,-0.0979797043682126
"1037","secondary",1,10,0.168385849671527,0.205863519043632,0.150367525585897,0.18258020413487,0.227347906552422,0.16050425273627,0.273944872457524,0.256551619740806,0.140539501694815,0.0259442018567938
"1038","tertiary",1,10,-0.176335771720301,-0.122473396170651,-0.251030745392159,-0.156418744642139,-0.0655558792738956,-0.266833000059321,0.51486852428532,0.565135309946068,1.81993026305934,1.1024761339775
"1039","literacy",1,10,0.0506751808591266,0.0384444933089337,0.0604938538706414,0.0579608219979925,0.0631890226535789,0.0506788848586772,-0.0133901885289775,-0.0273289690153479,0.0924491944447948,0.0597575090444246
"1040","agriculture",1,10,0.10461188390176,0.0358131301708493,0.192016391064677,0.169515390168163,0.150424049995153,0.201109462033574,-0.0377009262776276,-0.134482862723232,-0.132530248535924,0.11582972727303
"1041","cart",1,10,-0.0524723744958254,-0.175634183098309,0.0709155433586254,-0.0575646499956712,-0.197137296184672,0.0868660760501922,-0.454536390291935,-0.343075510953929,0.0697484021251544,0.337574995599867
"1042","plow",1,10,0.143415627133818,0.181772434807478,0.123184133331185,0.129422234265073,0.180908600094924,0.109514931603912,0.0359962183719813,-0.00172105418555686,-0.0122576559708441,0.00396260962030985
"1043","bike",1,10,0.232804705771086,0.158731793069979,0.320109227166101,0.228779760988407,0.174619206984895,0.308402247669186,-0.348385814135166,-0.889519870997583,0.244086893239262,0.269726694249635
"1044","motorbike",1,10,0.265339574704193,0.484715609158599,0.0914180704265485,0.281912370714167,0.527841224650753,0.0809946873403229,0.685647209882464,0.553849494799958,0.528164069014956,0.158388266750186
"1045","car",1,10,-0.0146855946622642,0.100381734957636,-0.138438574548377,-0.00793339778657931,0.132124608238691,-0.14939715584209,0.673602645347156,0.557292018305671,0.262427588636593,-0.494485701231513
"1046","radio",1,10,0.0207686046441911,-0.0295180088332707,0.0579029825341755,-0.00985012643856902,-0.0633020124945271,0.0542899321300499,-0.0577471689143594,-0.0978256957662076,-0.077457566437298,0.120540799646664
"1047","tv",1,10,0.266383622488991,0.371228150233393,0.181089326171191,0.275929606227873,0.410598436233982,0.192213282583523,0.502855384836351,0.369708186308579,-0.0191555887767716,0.352236324878425
"1048","fridge",1,10,-0.0645942817738458,0.0125334318343507,-0.159941250965218,-0.106429678263673,-0.0385154898339896,-0.189480586726063,0.633109135142559,0.457029332393655,0.483158715141327,NA
"1049","kitchen",1,10,0.518859513038757,0.588763080119811,0.488940884076823,0.537581186823884,0.616589288445296,0.506093496321969,0.634364852302966,0.463907418576856,0.367503269062861,NA
"1050","horse",1,10,-0.0268559286902207,-0.0237707625855284,-0.0440586143299756,-0.0743397150638769,-0.0897592655491033,-0.0549702051641385,-0.010405223017545,0.0403471810081133,0.0520579302660245,-0.139584381928196
"1051","goat",1,10,0.19437740064879,0.317343612246565,0.0858498665157149,0.228990478722914,0.376258553859553,0.0851739880047018,0.476145157557401,0.4486870876613,0.0540686630885291,-0.00223885237456705
"1052","chicken",1,10,0.341321058978208,0.381169955831889,0.321952164214713,0.374274845720322,0.449093881509958,0.331211081777832,0.523621123026305,0.353224034316558,0.0740082847959219,-0.142598950049423
"1053","bullock",1,10,0.270262122666578,0.506351860663113,0.0504030381345673,0.32184582571327,0.595859862173603,0.0615415800137145,0.860706209539961,0.744622496089149,0.584694686227276,0.500727134050948
"1054","pig",1,10,0.123257103249559,0.128777079065903,0.128739104674666,0.124115332282867,0.111618400925085,0.141403574451445,0.133540839119347,0.0607868290336409,0.284337761670808,0.402960203729399
"1055","rooms",2,10,0.231916248430255,0.453814421520086,0.0279174669035077,0.259927257162569,0.496096709067889,0.0336684899786695,0.525832001715284,0.509408692703879,0.231858056591383,0.253243439935127
"1056","hhsize",2,10,-0.0167939160472932,0.127796920315703,-0.160539649877951,-0.0265177121284871,0.131739732337617,-0.173943047683735,0.194097475417182,0.132084414172915,0.532492058203136,-0.487631702361943
"1057","age1660",2,10,0.0564823559922084,-0.0639207176082743,0.169957747612216,0.072462201592869,-0.0291571918726435,0.169304698752177,-0.0778871938241654,-0.0854902432710779,-0.207759775553284,-0.0528723647305982
"1058","age60",2,10,-0.387943613832776,-0.449254998898631,-0.34851264295334,-0.359830052222221,-0.406584293934327,-0.345986479178357,-0.332045716463815,-0.403300569920822,-0.517408729557409,-0.045594143572146
"1059","floor",2,10,0.280414239548954,0.343705243392075,0.259321806386927,0.287198187441292,0.314686505818145,0.270382897394734,0.245421950569397,0.277331013690834,0.693595310650942,0.17282604007994
"1060","walls",2,10,0.12754882607089,0.172077979304663,0.0944676695682453,0.108289281085133,0.137012274850452,0.0988348522838558,0.0176888960181079,0.0629944924600332,0.0683401986164749,0.122283539772861
"1061","roof",2,10,0.0335606049054878,0.204200951317607,-0.133222786487793,0.035058243167508,0.205031626195124,-0.127984099964165,0.367312133210817,0.246335993121118,0.173559028774245,-0.0204870630456081
"1062","toilet",2,10,0.0835783810126382,0.121225543574889,0.0416859826502283,0.0499425338717197,0.0617425718013899,0.0453798643677928,0.0724574600979902,0.0931393623443035,0.477999028383437,0.216486233655709
"1063","well",2,10,-0.05444090557238,-0.011619528891338,-0.0956846495436128,-0.0503974962625156,-0.0174626890712905,-0.0884063622396894,-0.215508201922913,-0.014636948115546,-0.157628508589782,0.246213828375749
"1064","water",2,10,-0.0620935377663515,-0.14332642013249,0.00509940561131338,-0.033240941231031,-0.0991405622887856,0.0167630802661247,-0.0149100036923818,-0.0866746536132454,0.0604951111380551,-0.256003879690939
"1065","waste",2,10,0.22388869392356,0.220093388187539,0.233551464362647,0.19331522406947,0.18741747139557,0.226168669997736,0.409898651251202,0.323844684631419,0.562702955585507,-0.149626932380107
"1066","male",2,10,-0.450794993214473,-0.458482599608151,-0.479903269008712,-0.451558242180567,-0.475138395949078,-0.474882320898483,-0.111414491280945,-0.204691575345302,-0.504719110080726,0.404125469684004
"1067","married",2,10,0.123115923737224,0.183109042109483,0.0774022930233257,0.135930437963329,0.183139985720164,0.0814772352865272,0.350268905548586,0.230216322259995,0.0886368340540338,0.296312248487482
"1068","widow",2,10,0.285620386302607,0.120949475129572,0.465106936484097,0.273405967796123,0.103322971916572,0.463046565473541,-0.0919559413011875,-0.152438249572608,-0.230078721407268,0.146942549063299
"1069","minority",2,10,0.0463405816881978,0.194884634571128,-0.106753890652277,0,0,0,0.85900775481718,0,0,0
"1070","primary",2,10,-0.0069014046069963,-0.0852348837586505,0.0745523539995537,0.00589531734158061,-0.0736659343825639,0.0886475413837776,-0.159293808497001,-0.128590945585506,-0.11170630041458,-0.41074190032657
"1071","secondary",2,10,0.118827537150402,0.119342500788452,0.142861424941872,0.129553242074723,0.124782822248013,0.150249807225219,0.0424807414661783,0.0510139954643983,0.118512969031165,0.160350404023113
"1072","tertiary",2,10,-0.203120143103151,-0.152621009379221,-0.276374235938778,-0.303549531218188,-0.270438917051328,-0.350090925404808,-1.62877529267332,-0.977141656422025,1.60851786557085,-0.631393924054018
"1073","literacy",2,10,0.0355201480923548,0.0103808257125698,0.0575453453890455,0.010763569592641,-0.0312889936533199,0.054258476928829,0.0823091266472795,0.0454087523314433,0.11545448689001,0.112400749975214
"1074","agriculture",2,10,0.0915339495365703,-0.006880329646146,0.197020477791887,0.0655561665010575,-0.0516354677577283,0.193706296264115,0.183401394875251,0.0464363222565135,-0.186605186569879,0.0746274945320801
"1075","cart",2,10,-0.0136054776083785,-0.101448296283902,0.0751046423157145,-0.000630569755171281,-0.0915770680501207,0.0887391057285694,-0.456762182497166,-0.344786078891932,0.0629003848155259,0.283639730863836
"1076","plow",2,10,0.0921095981299719,0.0695887035682005,0.117383378958575,0.0911861937377142,0.0842559010767679,0.109036618788657,0.200444475504493,0.0557965663575239,-0.0510820724349932,0.411810552826751
"1077","bike",2,10,0.182299016748538,0.0653366234553678,0.313060176789701,0.165218966589649,0.0451434425512422,0.301063726086026,0.207584184432048,0.0419855828544685,0.251715503005731,0.865256253968052
"1078","motorbike",2,10,0.302996384291477,0.552834059536615,0.0927485707368226,0.296179264990399,0.535172497850122,0.0838897956180572,0.654260045853645,0.619491797582937,0.525834995895448,0.0892224978852426
"1079","car",2,10,0.00867819618140007,0.143751311125587,-0.133836254728697,-0.03248706057821,0.0931867924177682,-0.171829422414475,2.20308881964414,1.63148860916034,0.274177595041825,0.674286721808218
"1080","radio",2,10,0.0923749170606059,0.111593188876157,0.065966715305534,0.0781295732581676,0.0995475806187865,0.0696447824987721,0.256822067280066,0.164544704697854,-0.0767717719116617,0.418824677954286
"1081","tv",2,10,0.210103161559062,0.278345340544437,0.172025057777657,0.230509569097533,0.297258695676393,0.182384359961334,0.176041123493184,0.262617570854424,-0.0836634235958165,0.449513852073373
"1082","fridge",2,10,0.0633491704457802,0.235352504693561,-0.112846350688732,0.0372394019362577,0.207285555445966,-0.118014495958732,0.65017164228183,0.484831584969342,0.656280158362817,-0.207243095725626
"1083","kitchen",2,10,0.532354598090296,0.62049657521958,0.494429959921101,0.538291942955776,0.633203656033798,0.496247892108119,0.880518789509474,0.75534669056268,0.361349033321783,0.0969322681228686
"1084","horse",2,10,0.104292752786695,0.250994456757887,-0.0319660414366827,0.0931457049076877,0.235383324909041,-0.0372672724230472,0.343311497167476,0.364483132392867,0.0773773419520188,-0.346040213225032
"1085","goat",2,10,0.21047167181128,0.34307914552685,0.100473612458369,0.211261307751841,0.343630971512488,0.0954934813400827,0.599115526410143,0.537770983498636,0.0214308537722962,0.256769061975097
"1086","chicken",2,10,0.134278215734084,-0.0193664564374241,0.302696953649812,0.136770320855691,-0.0118850830718384,0.304138975518004,-0.223437950567953,-0.150085397244622,-0.0477819557966569,-0.0418559066824024
"1087","bullock",2,10,0.109737150851408,0.20176866933123,0.0363598426891727,0.101940457312844,0.195155358239809,0.0410700717968219,0.195780842356791,0.348044542859672,0.497248986992752,-0.390976031241895
"1088","pig",2,10,0.123817067456896,0.121735044471582,0.1202418751839,0.0937749886456785,0.070305078038077,0.130913807324521,0.0716459025212944,0.0775762902540294,0.283079939269428,-0.14241659796083
"1089","rooms",3,10,0.0510603415958027,0.0830170915005596,0.0220667883742978,0.0230015481998484,0.0465982567437802,0.0181809888641852,0.0854433116262141,0.0777907114139318,0.111624437412927,-0.258869737524072
"1090","hhsize",3,10,0.065830475416426,0.301310022333794,-0.150258500212636,-0.0205387703006098,0.114617223378769,-0.167400303472819,0.205706845809205,0.182426375924405,0.54594024345298,-0.221004965058901
"1091","age1660",3,10,0.0484080406709797,-0.0893877207737595,0.175498131705441,0.0389251244460848,-0.0929924219746652,0.170135514871265,-0.29454181281355,-0.275961991350665,-0.263878315187764,0.741391081556056
"1092","age60",3,10,-0.38264731434239,-0.459370791310807,-0.348024292325784,-0.347650430569458,-0.374478134919317,-0.345347848159539,-0.631361196719846,-0.565685639900713,-0.458083268632878,0.112352951780884
"1093","floor",3,10,0.207045962471227,0.196615034992613,0.24501828486607,0.199503735079333,0.157819637626781,0.250583343009267,-0.0243150952110454,-0.0339378308971642,0.721957299536815,0.148777138362282
"1094","walls",3,10,0.282839605252127,0.511190103285561,0.106271162308877,0.242044579617019,0.376356986072729,0.117826368494514,0.854093168383269,0.72099760449618,0.163155600038097,0.287261877990572
"1095","roof",3,10,0.272385817720822,0.701363620035935,-0.10582183130838,0.208590718199724,0.523375121801455,-0.0996577716092598,1.58218772101638,1.31783012437398,0.339172865337982,-0.540768629177456
"1096","toilet",3,10,0.0668523670741449,0.0902720316857255,0.0388230726129622,0.0517246028881,0.0607903219906102,0.0504275701044552,0.0619625061953287,0.155587818413817,0.506932785779883,-0.0429337432041725
"1097","well",3,10,0.0411382695629737,0.185604604648161,-0.0863536572210205,-0.000638629664616653,0.1018701170819,-0.0819883700944017,0.429052932066692,0.285297447159531,-0.0773913667647718,-0.269863772932361
"1098","water",3,10,-0.0913799485824354,-0.189193369681248,-0.00358958073135678,-0.0192015788098391,-0.0764119585763178,0.0230405716911469,-0.0142969082653991,-0.0351562407128193,0.109433800036203,0.357251059239958
"1099","waste",3,10,0.200252151860184,0.203730686698059,0.211900607521489,0.174767132981962,0.1726524844866,0.194988654359088,-0.489630505846371,-0.147283928198186,0.705515831867048,-0.702885639054871
"1100","male",3,10,-0.74505303786266,-1.01762687041413,-0.552087962358474,-0.693123365438108,-0.859147212803449,-0.549344671923047,-2.03859806407954,-1.73556533802222,-0.756506915760506,-0.0503734352295822
"1101","married",3,10,0.14185844392713,0.230893171486839,0.0797548609723308,0.159060846484326,0.236722257443072,0.093325488008633,0.59940198784842,0.492364231995888,0.0568923869982819,0.370108065731537
"1102","widow",3,10,0.462394790591598,0.43248307068543,0.535196686394934,0.471428144324282,0.439317766058841,0.542449525560329,0.977169418008385,0.914208582770201,-0.16040260023761,0.045531057262291
"1103","minority",3,10,0.0212976802575282,0.158262476317139,-0.109896589957164,0,0,0,0.132333211930091,0,0,0
"1104","primary",3,10,-0.0796466485718198,-0.250397711438248,0.070717052341851,-0.0604863132226249,-0.211331438301629,0.0869640318959903,-0.394488721455756,-0.365753134924445,-0.138202204635382,0.218174484975866
"1105","secondary",3,10,0.0835428232682955,0.043451207270883,0.148105323668298,0.0980999917547873,0.0534679667415847,0.153997401029264,-0.0720827252602597,-0.0703144001527711,0.100966574708309,0.311398801002996
"1106","tertiary",3,10,0.0886442149813678,0.270583495365431,-0.105077884415784,0.0209165460753844,0.181955769544678,-0.13942824238157,4.30424353277982,4.08040781734061,2.49974520674623,0.113833170667115
"1107","literacy",3,10,0.201845115711146,0.349910163679441,0.0768530603174384,0.145721257525079,0.260381575704786,0.0631399430937732,0.423356555014383,0.377326720261391,0.218370011693142,0.0419985769711078
"1108","agriculture",3,10,-0.0745992600542346,-0.340455476967518,0.183233019324426,-0.0699773658737658,-0.316366153660813,0.179307287739921,-0.687334776989487,-0.63274564119051,-0.220417994736382,-0.251447186235248
"1109","cart",3,10,-0.0318458988583191,-0.15609145189163,0.0878926960165941,0.00834101728637262,-0.0869212347306405,0.103928269237105,-0.11450855096888,-0.145233297327338,0.0400066591953313,0.170173786380472
"1110","plow",3,10,0.0895086421546329,0.0682156573700692,0.12313280666549,0.0840005489784992,0.0580693182083611,0.109844610022561,0.0332693608051555,0.0255900071889054,-0.0637684203378875,0.263967150845078
"1111","bike",3,10,0.158068864237341,-0.0117051255261156,0.314751434264227,0.200468215191451,0.09774883695608,0.311734943648732,-0.209253648088398,0.0467688271950409,0.317494699573946,-0.528371328338196
"1112","motorbike",3,10,-0.0385007129276055,-0.140563503834524,0.0493602254809618,-0.0237310239889077,-0.103861438777918,0.0412538692951892,-0.687090828235127,-0.577219979516439,0.340510672028228,0.397154950673158
"1113","car",3,10,-0.209002952939457,-0.178505937966405,-0.251495848055585,-0.188919901326496,-0.166132217474648,-0.242035166755144,-0.549753730711367,-0.437691287992763,0.217483703093918,0.0262067272757469
"1114","radio",3,10,0.205223241916086,0.358430407524406,0.0730401285590218,0.157529324981393,0.257493516763151,0.0798679485228143,0.541350237374528,0.47372757180545,-0.0127439949900562,0.0207255772132213
"1115","tv",3,10,0.241898665514961,0.318121698608937,0.195439659708521,0.236766568651288,0.281661276474053,0.203606319471906,0.453380501074929,0.337166086157529,-0.0873483877022834,0.478498181421529
"1116","fridge",3,10,-0.159326341162314,-0.106923822409899,-0.220765095142398,-0.18845760437446,-0.141880818896045,-0.221396679293124,0.148098677636326,0.0333134273685338,0.608447751902558,0.259485648586108
"1117","kitchen",3,10,0.500817930874052,0.593346587783025,0.483992911638325,0.472858878805274,0.533649541973091,0.464005305110839,1.80867674043324,1.71703885702899,0.523041301614086,1.24522410540767
"1118","horse",3,10,0.0140137201732267,0.0690039050775869,-0.0349087956073981,0.00306118139044268,0.0486670073525878,-0.0439199998339956,0.267207215773188,0.230627267820719,0.0402090902926661,0.0847288580663194
"1119","goat",3,10,0.211159029546929,0.372106746039784,0.102237431659216,0.216994466513645,0.342814579179629,0.104951499586175,0.675697170822205,0.615380453619847,0.0475962754873509,0.514484727083686
"1120","chicken",3,10,0.227284114748911,0.167999886255171,0.307195597850965,0.19706869860511,0.101296265458772,0.302999256792549,0.27298452300513,0.225651393101393,0.0337144895524841,0.285648336358002
"1121","bullock",3,10,0.130932223244533,0.22492146301393,0.0376078599231462,0.110028882531867,0.184375184199132,0.0426603583946456,0.40585895096227,0.341924878078927,0.495621908319183,-0.0145158646574111
"1122","pig",3,10,-0.0171645537910991,-0.163412277728585,0.108731996541214,0.0326750891455247,-0.0703137334319573,0.127442732973382,-0.22245960769731,-0.195356582899971,0.230079189190293,0.118680478802297
"1123","rooms",4,10,0.184624445595621,0.394010553511479,0.00918402187011117,0.21652940577946,0.424306857549842,0.0189572878596478,0.365081613076807,0.41130050228871,0.246639377571753,0.293448301276996
"1124","hhsize",4,10,0.0975801940355995,0.361467072964297,-0.144832181278849,0.0840282809807031,0.332367938355376,-0.162221308876958,0.651621387369608,1.13694596223976,0.654122110921433,-0.705961311426561
