"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1460","bicycle",2,100,-0.0445134397667203,-0.0986473506799549,-0.000488227897261978,-0.0428517380387032,-0.0946644884461472,-0.000797815042768505,-0.110971706858403,-0.116465024153897,-0.0900415336827431,0.086351699227168
"1461","motorcycle",2,100,0.33808765903153,0.481184948951236,0.20454567435722,0.33206644598334,0.480868300106967,0.202550541513517,0.480347324174108,0.494388178497624,0.493722475467229,0.166709691912353
"1462","auto",2,100,0.77024208556802,1.08044822112517,0.512210834085923,0.80309040853782,1.12017784921787,0.521945003848488,1.56709525168269,1.57512703854883,1.45983139812907,0.418721695743034
"1463","hp",2,100,0.151830496682657,0.123501086609537,0.176659880656645,0.155125091098573,0.140730337742736,0.17893147206597,0.121965811766059,0.114353970875441,0.0692351889243769,0.146457784994281
"1464","jewelry",2,100,0.110877859542972,0.180985640080147,0.0497849773357409,0.120310042502853,0.181678459639156,0.0501787652079618,0.172112014466391,0.17286022386197,0.183444505130476,0.0961347670092229
"1465","chicken",2,100,0.0378681100824939,0.0182623212561298,0.0578591560459129,0.0515951016664052,0.0417251852434867,0.0615133896139096,0.0241971467575865,0.0170604945153466,-0.00159340123075324,-0.0142990030154304
"1466","cow",2,100,0.0483924543771914,0.151331803905126,-0.0538647271987769,0.0447587782442859,0.147331400489459,-0.0546228215777804,0.232808448616362,0.213593897630954,0.28013063570005,-0.127318295702961
"1467","credit",2,100,-0.0422718985217177,-0.10528150800946,0.0227989584726692,-0.0463216623512889,-0.119666022616228,0.0208100412657243,-0.166120036412757,-0.169801337537057,-0.149741915987333,0.065422078034984
"1468","hhsector1",2,100,0.352082391920379,0.524112330914231,0.198055875411645,0.358261262133707,0.540010486764736,0.185531623629318,1.32985472126376,1.3560359059695,-0.36224619679665,-0.0973889212367943
"1469","hhsector2",2,100,0.117828631297801,0.121043627140841,0.12590886890226,0.117037843334141,0.128979594151397,0.112982218940615,0.882541758233924,0.885096633617104,-0.753506620040615,-0.0188506247024979
"1470","hhsector3",2,100,0.240580736230524,0.26407308028852,0.217366258205043,0.224408612858391,0.27000927978115,0.201214635866002,1.02148860345377,1.04309981477186,-0.599615484610904,0.0362607533242075
"1471","formal",2,100,-0.0295815437146999,-0.0362970622961946,-0.0355230574055848,-0.00658173104079194,0.00500521843008721,-0.0227237046955096,-0.616081870432046,-0.847697951305116,0.961971579679791,0.31878867540375
"1472","informal",2,100,-0.151705775235802,-0.155238159425537,-0.164184752107389,-0.128993879255239,-0.100009464501378,-0.151659116476801,-0.72969251746415,-0.960695641674018,0.865825792989642,0.178922601833314
"1473","hhsize",3,100,-0.477252345178828,-0.347512434690884,-0.632612422896666,-0.47759605126308,-0.351353536328052,-0.630963226420708,-0.354581629837049,-0.333077739361209,-0.300068910180223,-0.561999445966784
"1474","hhage",3,100,0.104508604574685,0.203463703217778,0.0134156146873765,0.100680819123753,0.20286493493999,0.011768899635894,0.236365576041831,0.230165888867853,0.160766873019241,-0.011543011170933
"1475","age04",3,100,0.0466901138014018,0.0714132995951452,0.0233750914176527,0.0436216429053649,0.0640121731989194,0.0247731055755742,0.0786306415444014,0.0666978452960122,0.00453250238867708,0.0216571726616843
"1476","depratio",3,100,-0.0807750487949882,0.0203155973171188,-0.18637439717612,-0.0881619570481329,0.0214627160660236,-0.188851353036829,0.0421676466514487,0.0402317047624739,0.082545564395264,-0.163869187501122
"1477","pcfloor",3,100,0.315736991086766,0.388092090514685,0.261330022944489,0.325399931393795,0.401417805518491,0.262063097263572,0.430558399217279,0.439690617028227,0.396459005868468,0.458042131128065
"1478","eschild",3,100,0.133406246178737,0.242474246085461,0.0318166373097398,0.138057408130554,0.249578365939405,0.0292635852484061,0.247426660020667,0.243982409393135,0.168102761948267,-0.0149144971270272
"1479","jschild",3,100,0.0131102893056166,-0.0575689625294847,0.0814396391921862,0.00395017215220084,-0.0639629589566889,0.0816829972072965,-0.0773722416923232,-0.0791133074841657,-0.0929155379697528,0.0156263709154894
"1480","sschild",3,100,0.0214140299336846,-0.0333107261833214,0.0747482806952072,0.0297753263193509,-0.0259246352329957,0.0764128607499667,-0.048648308623268,-0.0466885690979943,-0.0097355017449506,0.00587912220650717
"1481","connected",3,100,0.00538621119698056,0.00823605164571814,0.00937076398588126,0,0,0,0.00467475407611015,0,0,0
"1482","hhmale",3,100,0.0789929844378682,0.202863948111117,-0.0498362615407385,0.0654234093771837,0.191770832519354,-0.0550000015181978,0.0179055106983285,0.0350985159661795,0.0295562750498906,-0.0925945738506296
"1483","hhmarried",3,100,0.34949366958299,0.785327788431333,-0.0515161559538954,0.365047574311744,0.797560282754833,-0.0471709765225151,1.12242448644151,1.10974681627315,0.994535362879368,0.0834226595820315
"1484","hheduc2",3,100,0.0303643253984563,-0.0617486135398786,0.127390875222028,0.0293649877454659,-0.0695521806663149,0.128031378713843,-0.10142484811952,-0.10355912056112,-0.0706866578200371,0.0895872403850163
"1485","hheduc3",3,100,0.0867722624596173,0.0372928232859741,0.136622863566612,0.0821184592089529,0.0407894818106009,0.135180505660507,-0.00555447351418852,-0.00839719647348875,0.0330042364957075,0.0909501679165848
"1486","hheduc4",3,100,0.17836877890996,0.2047522351098,0.159710707978282,0.181264708736583,0.227191991867307,0.158266895060129,0.156791000396792,0.163232131656552,0.195952957514655,0.116186451186128
"1487","higheduc2",3,100,-0.101452821208797,-0.182155068190158,-0.0312257648493515,-0.0930402383265819,-0.175533216286497,-0.0285833035437777,-0.256409830073199,-0.254982880703356,-0.10825852180223,0.133034550850262
