"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"301","kitchen",9,5,0.47023997451682,0.563395253283361,0.431920380011227,0.471416319893462,0.58979752321597,0.444130776873065,0.886829385721338,0.669125336653421,1.54756845728082,-0.306129339690695
"302","horse",9,5,0.0415298263413798,0.136412401471989,-0.0464389501075499,0.0503104095501481,0.161793488903322,-0.0552036890544711,0.321273393782566,0.149818896668305,0.428548098427379,0.335653641777102
"303","goat",9,5,0.106909391598162,0.162350316114769,0.0880440415764592,0.0972144147921458,0.134070782020794,0.0838745243033606,-0.336752339511829,-0.297148446525828,0.372549245662986,-0.342878323836409
"304","chicken",9,5,0.288006549939641,0.317515218605749,0.31867387894554,0.282355259430954,0.300442843912901,0.325356434827507,0.0290940066377117,0.187790161694982,-0.0185280638865486,0.523510059621053
"305","bullock",9,5,0.0829300213231626,0.157145154041004,0.0343019440843046,0.126271110623192,0.226175094952859,0.0446922162277839,0.17548610928783,0.10992610513972,0.315929976748134,0.102427998480591
"306","pig",9,5,0.0106840541242443,-0.0934274989124613,0.110897181191813,0.0226224597377286,-0.0867567078468892,0.131525793581455,0.185496541736834,0.211965849342572,-0.286148137446127,0.774865700077845
"307","rooms",10,5,0.209430219947815,0.430836798141903,0.0205996163819357,0.230305525493426,0.456453392830632,0.0258396550297866,0.448604739463095,0.449373054232562,-0.0776149430982178,0.405471840619238
"308","hhsize",10,5,0.0943731497610416,0.347429925620409,-0.153373917404036,0.0829364980380698,0.364389611414381,-0.172344894581923,0.627457391048329,0.683938774325041,0.874518944149974,-0.443232556015698
"309","age1660",10,5,0.0610083451109014,-0.0461231299447437,0.17843166343141,0.0585746236650069,-0.0542787918385739,0.178003824897804,-0.0587062820152463,-0.175345309724726,0.0233046928635541,-0.167792858873872
"310","age60",10,5,-0.378361267578072,-0.478938396249268,-0.337672127300499,-0.403042145985133,-0.514751181113862,-0.338659607041871,-0.438082854889553,-0.593933903964213,-0.396394604462932,0.176304357243526
"311","floor",10,5,0.241808103651688,0.251117479129858,0.258972474494307,0.246008073748062,0.260816257283952,0.269844849443116,-0.143421613510264,0.027505608093435,0.460521188515537,0.252505993703711
"312","walls",10,5,0.066794880905602,0.0674116722819632,0.0908008407947423,0.0601711087505317,0.0222826662496425,0.098934606715997,0.0772413032560694,0.0583780784197385,0.138328336634939,0.113320339858646
"313","roof",10,5,-0.00821259765632208,0.124689804511002,-0.138956572890195,0.0277876929036684,0.176573675881757,-0.131605008043954,0.591865353418999,0.394789906155302,0.384566780578753,-0.194944408609717
"314","toilet",10,5,0.108933906844119,0.185211438183238,0.041766005447315,0.0939993248074802,0.140504565294571,0.0550495537987837,0.245882342739188,0.108895468970992,0.255704780420901,0.350030407080985
"315","well",10,5,-0.193275695415239,-0.308208886990509,-0.102145583938834,-0.21765864017111,-0.350490731612351,-0.0905250518973284,-0.504448674900183,-0.404993785496449,-0.414674176537423,0.315609475897644
"316","water",10,5,-0.0458980366526483,-0.125832393558983,0.0059060679966437,-0.065006668304303,-0.133111151503803,0.0149622230689821,-0.37861374063277,-0.302064675752935,0.261934262276507,0.0849321956941156
"317","waste",10,5,0.276836154129097,0.318278943704657,0.262042745275196,0.305678729848703,0.358483192582455,0.273982914613734,0.475859528036837,0.464976172472236,0.772119285647885,-0.388173752525044
"318","male",10,5,-0.34494135236779,-0.269974096295772,-0.454142149639263,-0.346056911294992,-0.264805897844266,-0.454233033901271,0.1665364562834,0.185907221689777,-1.37609035777163,0.228513931533337
"319","married",10,5,0.0833609764769992,0.103708997182939,0.0685810800009793,0.0998251752476126,0.142441640715751,0.0738668570862523,0.0958627988982988,0.10098073959978,0.558966288307081,0.280845924046012
"320","widow",10,5,0.177390644369262,-0.0649303625371855,0.444619607642303,0.153146823714795,-0.12546386787161,0.453901511239891,-0.618085025825562,-0.736644482518476,0.579874953590735,0.524300925055766
"321","minority",10,5,0.0451040043652318,0.206666190438278,-0.112501369952141,0,0,0,2.09685257014814,0,0,0
"322","primary",10,5,0.101468420463395,0.131824669388331,0.0856291142335622,0.113884943134045,0.12400947293832,0.0960682808050066,0.520660614858648,0.241427726418751,0.162772569070918,-0.21812097013938
